month,cnt
2015-01,16
2015-02,40
2015-03,32
2015-04,13
2015-05,1
2015-06,1
2015-07,2
2015-08,3
2015-09,8
2015-10,14
2015-11,36
2015-12,56
2016-01,84
2016-02,94
2016-03,106
2016-04,110
2016-05,93
2016-06,67
2016-07,35
2016-08,37
2016-09,36
2016-10,34
2016-11,28
2016-12,39
2017-01,17
2017-02,17
2017-03,9
2017-04,6
2017-05,3
2017-06,2
2017-07,1
2017-08,8
2017-09,20
2017-10,53
2017-11,70
2017-12,93
2018-01,75
2018-02,59
2018-03,74
2018-04,76
2018-05,65
2018-06,53
2018-07,30
2018-08,22
2018-09,31
2018-10,9
2018-11,8
2018-12,5
2019-01,2
2019-02,1
2019-03,3
2019-04,30
2019-05,64
2019-06,154
2019-07,88
2019-08,44
2019-09,51
2019-10,61
2019-11,61
2019-12,77
2020-01,72
2020-02,76
2020-03,157
2020-04,157
2020-05,110
2020-06,52
2020-07,52
2020-08,20
2020-09,12
2020-10,5
2020-11,2
2020-12,1
2021-01,2
2021-02,4
2021-03,36
2021-04,94
2021-05,179
2021-06,100
2021-07,42
2021-08,57
2021-09,78
2021-10,97
2021-11,63
2021-12,65
